DEFECTID,XREL,YREL,DEFECTAREA,DSIZE
199,22633867,220769968,0.0,68
200,44587100,47815011,0.0,69
201,250264121,257848409,0.0,68
202,71127671,219772772,0.0,68
203,257769992,171389245,0.0,69
204,117106988,31323138,0.0,69
205,160299643,273472822,0.0,68
206,36719099,209777403,0.0,70
207,276408589,127574620,0.0,69
208,49516726,69394819,0.0,69
209,23360245,103645221,0.0,69
210,14844701,157903615,0.0,69
211,135896760,13205096,0.0,68
212,86838474,272622187,0.0,69
213,284761903,119485800,0.0,69
214,24319758,86415576,0.0,70
215,208729991,279763679,0.0,68
216,70856956,175015724,0.0,50
217,64980345,173179024,0.0,51
218,183712805,65217928,0.0,51
219,69363625,105896445,0.0,53
220,207484938,78162085,0.0,50
221,202165129,74117138,0.0,50
222,161087022,58226263,0.0,52
223,197856103,70865735,0.0,50
224,57089842,133988568,0.0,50
225,198099824,68683809,0.0,50
226,109386163,63999878,0.0,50
227,90351762,75251825,0.0,52
228,59455087,183379493,0.0,52
229,213830908,224224161,0.0,50
230,245381565,126831883,0.0,51
231,88438006,229116129,0.0,51
232,88992690,69568398,0.0,50
233,136224314,49489253,0.0,51
234,152841170,251857513,0.0,52
235,49045470,137684163,0.0,51
236,199063361,60798316,0.0,52
237,239256409,100188945,0.0,50
238,248737926,122663272,0.0,51
239,79856863,74238434,0.0,50
240,250703671,174980714,0.0,51
241,158275530,46597048,0.0,51
242,179273096,50457393,0.0,50
243,57190415,100428469,0.0,51
244,247442949,191042595,0.0,52
245,56607336,200226956,0.0,52
246,83112413,67359110,0.0,52
247,225493083,226224982,0.0,51
248,158862063,258359148,0.0,52
249,40614797,158070205,0.0,52
250,151468373,259890269,0.0,51
251,209016511,56609779,0.0,53
252,253424366,110528832,0.0,52
253,41919538,174611690,0.0,52
254,242494774,88073527,0.0,51
255,51787219,202646253,0.0,51
256,67827943,225619409,0.0,52
257,213044631,57804361,0.0,52
258,64806950,222656283,0.0,51
259,186122743,43461032,0.0,52
260,258791293,182180111,0.0,51
261,160579926,263444265,0.0,51
262,44364985,193826030,0.0,52
263,264502425,149428760,0.0,50
264,43161796,192562902,0.0,51
265,227480032,64513624,0.0,51
266,73303117,236545405,0.0,51
267,216554179,244802651,0.0,51
268,41163306,190729892,0.0,51
269,160725962,34421900,0.0,51
270,106411718,42416237,0.0,51
271,260377672,186960560,0.0,51
272,124503236,263830423,0.0,52
273,144176643,33402913,0.0,52
274,35206879,172824095,0.0,51
275,67014767,233419000,0.0,52
276,49482914,211726758,0.0,51
277,249538139,86814898,0.0,51
278,215077328,249088514,0.0,52
279,73483645,59287812,0.0,50
280,60479543,228763284,0.0,50
281,69501084,62205412,0.0,51
282,106448877,39127271,0.0,52
283,30756787,152889242,0.0,51
284,56861869,75585579,0.0,51
285,127883511,32819393,0.0,51
286,40501032,198975892,0.0,53
287,29997393,148155786,0.0,51
288,269681733,163082048,0.0,51
289,70395474,59899029,0.0,51
290,63483910,66425621,0.0,51
291,211552378,46489630,0.0,51
292,29503831,147639757,0.0,52
293,197797501,39262089,0.0,51
294,270888374,150422529,0.0,52
295,98300689,259409905,0.0,51
296,35122040,189045403,0.0,51
297,69084080,240542769,0.0,51
298,32251730,181947920,0.0,51
299,223200915,248360698,0.0,51
300,28969590,129349195,0.0,52
301,210313675,42909435,0.0,51
302,182957202,31520636,0.0,52
303,46792122,217269002,0.0,51
304,83974200,45805445,0.0,51
305,273424245,156958747,0.0,51
306,90550412,258630678,0.0,52
307,207049897,40071764,0.0,51
308,81479344,254117097,0.0,51
309,188004032,268859142,0.0,52
310,260483082,208053480,0.0,52
311,36880831,203283693,0.0,50
312,246807128,70688597,0.0,52
313,79836580,253903801,0.0,53
314,224448628,49404724,0.0,51
315,176676224,272668539,0.0,51
316,261919647,93476674,0.0,51
317,123251003,272806004,0.0,52
318,33477611,101515804,0.0,51
319,243267346,64242047,0.0,51
320,215761631,41394395,0.0,51
321,71721490,50054001,0.0,53
322,276639659,136501395,0.0,51
323,156430818,277488183,0.0,52
324,233968262,246207954,0.0,51
325,275284785,125853905,0.0,52
326,54567501,65437719,0.0,51
327,72673009,251762379,0.0,51
328,269762465,195587881,0.0,51
329,28147487,189895086,0.0,50
330,188212742,27608766,0.0,51
331,142610195,278380484,0.0,52
332,58095375,239830657,0.0,52
333,192684837,29000877,0.0,51
334,137846087,278121789,0.0,51
335,34381510,207579830,0.0,50
336,89853494,264484533,0.0,51
337,46772276,228018339,0.0,50
338,277583969,172549596,0.0,51
339,253225362,229110367,0.0,52
340,185172933,24973201,0.0,53
341,40925075,221206495,0.0,51
342,81741377,261230808,0.0,51
343,34783200,89073031,0.0,51
344,31859362,205544827,0.0,51
345,239225320,54802828,0.0,51
346,183703462,23724131,0.0,51
347,238025053,247093284,0.0,51
348,19641429,162940517,0.0,52
349,124842752,21302137,0.0,51
350,26321844,195520219,0.0,51
351,27844270,100798933,0.0,51
352,64370848,250398762,0.0,51
353,134970990,281354365,0.0,51
354,214597763,34807563,0.0,51
