DEFECTID,XREL,YREL,DEFECTAREA,DSIZE
158,206481.753,166471.539,0.0,0.035
159,206482.375,166471.722,0.0,0.035
160,206482.82,166471.664,0.0,0.035
161,206483.335,166470.867,0.0,0.035
162,206481.937,166470.904,0.0,0.035
163,272652.234,174739.701,0.0,0.044
164,272652.234,174739.701,0.0,0.044
165,272653.507,174739.957,0.0,0.044
166,272653.843,174739.607,0.0,0.044
167,272653.757,174738.734,0.0,0.044
168,272652.484,174738.476,0.0,0.044
169,221388.89,179787.976,0.0,0.026
170,221388.632,179788.599,0.0,0.026
171,221522.562,180068.302,0.0,0.026
172,221389.492,179788.226,0.0,0.026
173,221388.89,179787.976,0.0,0.026
174,209988.91,183186.23,0.0,0.035
175,209988.578,183186.832,0.0,0.035
176,209989.144,183187.144,0.0,0.035
177,209990.16,183186.417,0.0,0.035
178,209988.91,183186.23,0.0,0.035
179,210615.562,186618.269,0.0,0.027
180,210615.007,186617.933,0.0,0.027
181,210615.562,186618.269,0.0,0.027
182,210615.328,186617.402,0.0,0.027
183,107683.696,193417.097,0.0,0.032
184,107682.934,193417.546,0.0,0.032
185,107683.696,193417.097,0.0,0.032
186,107684.149,193416.632,0.0,0.032
187,107683.661,193416.16,0.0,0.032
188,107683.208,193416.625,0.0,0.032
189,12380.672,195177.257,0.0,0.032
190,12379.157,195177.496,0.0,0.032
191,12380.063,195177.46,0.0,0.032
192,12380.672,195177.257,0.0,0.032
193,12380.454,195176.574,0.0,0.032
194,12379.829,195176.777,0.0,0.032
195,98697.27,197074.261,0.0,0.033
196,98696.563,197075.527,0.0,0.033
197,98697.262,197075.214,0.0,0.033
198,98697.743,197074.773,0.0,0.033
199,98697.27,197074.261,0.0,0.033
200,98696.793,197074.703,0.0,0.033
201,196832.265,198597.246,0.0,0.032
202,196830.945,198596.515,0.0,0.032
203,196831.394,198596.984,0.0,0.032
204,196832.265,198597.246,0.0,0.032
205,196831.882,198596.515,0.0,0.032
206,196831.429,198596.046,0.0,0.032
207,82367.821,201928.445,0.0,0.018
208,82367.305,201928.839,0.0,0.018
209,82367.563,201930.246,0.0,0.018
210,82367.954,201930.753,0.0,0.018
211,82368.336,201928.046,0.0,0.018
212,82367.555,201927.035,0.0,0.018
213,201948.515,210500.289,0.0,0.033
214,201946.222,210500.039,0.0,0.033
215,201946.648,210500.531,0.0,0.033
216,201948.062,210500.675,0.0,0.033
217,201948.515,210500.289,0.0,0.033
218,201948.093,210499.792,0.0,0.033
219,201946.675,210499.648,0.0,0.033
220,79161.258,212459.3,0.0,0.033
221,79160.172,212458.632,0.0,0.033
222,79160.305,212459.203,0.0,0.033
223,79161.305,212460.816,0.0,0.033
224,79162.219,212459.402,0.0,0.033
225,79161.282,212458.339,0.0,0.033
226,119920.067,213031.601,0.0,0.032
227,119919.516,213031.339,0.0,0.032
228,119919.911,213032.847,0.0,0.032
229,119920.067,213031.601,0.0,0.032
230,127577.565,216481.789,0.0,0.031
231,127577.272,216482.0,0.0,0.031
232,127577.565,216481.789,0.0,0.031
233,127577.272,216482.0,0.0,0.031
234,250573.687,216739.617,0.0,0.037
235,250573.148,216739.257,0.0,0.037
236,250573.687,216739.617,0.0,0.037
237,250575.187,216740.023,0.0,0.037
238,250575.601,216739.398,0.0,0.037
239,250575.445,216738.46,0.0,0.037
240,250574.523,216738.367,0.0,0.037
241,250573.562,216738.632,0.0,0.037
242,226426.992,219199.914,0.0,0.034
243,226426.992,219199.914,0.0,0.034
244,226427.476,219200.343,0.0,0.034
245,226428.687,219200.007,0.0,0.034
246,226427.421,219199.437,0.0,0.034
247,149400.641,223163.664,0.0,0.026
248,149400.641,223163.664,0.0,0.026
249,149401.281,223163.671,0.0,0.026
250,149401.285,223163.023,0.0,0.026
251,184517.32,224301.414,0.0,0.034
252,184516.765,224301.671,0.0,0.034
253,184517.593,224302.007,0.0,0.034
254,184518.667,224301.914,0.0,0.034
255,184517.32,224301.414,0.0,0.034
256,236963.593,246022.609,0.0,0.033
257,236963.109,246023.039,0.0,0.033
258,236963.546,246023.523,0.0,0.033
259,236964.031,246023.085,0.0,0.033
260,236963.593,246022.609,0.0,0.033
261,135210.292,261797.492,0.0,0.031
262,135210.207,261798.132,0.0,0.031
263,135211.29,261798.781,0.0,0.031
264,135210.989,261797.585,0.0,0.031
265,135210.292,261797.492,0.0,0.031
266,220592.07,271456.585,0.0,0.051
267,220591.437,271455.14,0.0,0.051
268,220591.742,271456.023,0.0,0.051
269,220592.07,271456.585,0.0,0.051
270,220593.757,271456.359,0.0,0.051
271,220595.57,271455.304,0.0,0.051
272,220595.757,271454.445,0.0,0.051
273,220595.437,271453.882,0.0,0.051
274,220591.89,271454.875,0.0,0.051
275,225144.75,273110.273,0.0,0.035
276,225143.828,273110.828,0.0,0.035
277,225144.171,273111.39,0.0,0.035
278,225144.914,273111.945,0.0,0.035
279,225145.085,273110.828,0.0,0.035
280,225144.75,273110.273,0.0,0.035
281,241264.937,161884.882,0.0,0.025
282,241264.937,161884.882,0.0,0.025
283,202731.921,196695.859,0.0,0.025
284,202731.921,196695.859,0.0,0.025
285,200677.414,107543.618,0.0,0.025
286,200677.414,107543.618,0.0,0.025
287,111737.239,173432.949,0.0,0.025
288,111737.239,173432.949,0.0,0.025
